barbarian|Barbarian's are brutes, they can't cast spells!
bard|Check out <a href='{{SPELL_LISTS_URL}}---bard' target='_blank'>this list of Bard spells</a>!
cleric|Sure, take a look at <a href='{{SPELL_LISTS_URL}}---cleric' target='_blank'>these Cleric spells</a>!
druid|I've got a bunch of <a href='{{SPELL_LISTS_URL}}---druid' target='_blank'>Druid spells right here</a>!
fighter|Uhh, Fighters don't cast spells buddy.
monk|Monks don't cast spells, were you looking for <a href='http://www.d20pfsrd.com/classes/unchained-classes/monk-unchained#TOC-Ki-Power-Su-' target='_blank'>a list of their Kis</a>?
paladin|Plenty of <a href='{{SPELL_LISTS_URL}}---paladin' target='_blank'>Paladin spells here</a>!
ranger|Sure thing, check out <a href='{{SPELL_LISTS_URL}}---ranger' target='_blank'>this list of Ranger spells</a>!
rogue|I'm afraid I can't do that. Rogues don't cast spells.
sorcerer|I've got plenty of <a href='{{SPELL_LISTS_URL}}---sorcerer-and-wizard' target='_blank'>Sorcerer spells right here</a>!
wizard|Hmm, I can't find any. Just kidding, check out <a href='{{SPELL_LISTS_URL}}---sorcerer-and-wizard' target='_blank'>this list of Wizard spells</a>!